zone_id,year,month,day,avg_temperature
1,2004,1,1,44.33333333
1,2004,1,2,48.45833333
1,2004,1,3,56.83333333
1,2004,1,4,65
1,2004,1,5,62
1,2004,1,6,41.5
1,2004,1,7,28.95833333
1,2004,1,8,30.95833333
1,2004,1,9,31.29166667
1,2004,1,10,19.08333333
1,2004,1,11,22.70833333
1,2004,1,12,40.91666667
1,2004,1,13,40.875
1,2004,1,14,33.45833333
1,2004,1,15,33.95833333
1,2004,1,16,27.125
1,2004,1,17,31.58333333
1,2004,1,18,39.125
1,2004,1,19,30.75
1,2004,1,20,27.83333333
1,2004,1,21,25.625
1,2004,1,22,38.5
1,2004,1,23,26.5
1,2004,1,24,28.83333333
1,2004,1,25,21
1,2004,1,26,32.29166667
1,2004,1,27,37.04166667
1,2004,1,28,30.75
1,2004,1,29,34.95833333
1,2004,1,30,31.20833333
1,2004,1,31,25.25
1,2004,2,1,26.70833333
1,2004,2,2,31.41666667
1,2004,2,3,43.25
1,2004,2,4,37.66666667
1,2004,2,5,35.20833333
1,2004,2,6,49
1,2004,2,7,44.45833333
1,2004,2,8,32.75
1,2004,2,9,38.45833333
1,2004,2,10,45
1,2004,2,11,39.125
1,2004,2,12,36.54166667
1,2004,2,13,39.29166667
1,2004,2,14,44.04166667
1,2004,2,15,37.33333333
1,2004,2,16,29.41666667
1,2004,2,17,33.375
1,2004,2,18,37.58333333
1,2004,2,19,43.54166667
1,2004,2,20,49.70833333
1,2004,2,21,54.33333333
1,2004,2,22,41.70833333
1,2004,2,23,39.04166667
1,2004,2,24,42.5
1,2004,2,25,36.58333333
1,2004,2,26,35.375
1,2004,2,27,38.58333333
1,2004,2,28,37.70833333
1,2004,2,29,48.125
1,2004,3,1,55
1,2004,3,2,62.41666667
1,2004,3,3,55.58333333
1,2004,3,4,59.29166667
1,2004,3,5,64.33333333
1,2004,3,6,65.04166667
1,2004,3,7,51.04166667
1,2004,3,8,45.16666667
1,2004,3,9,41.375
1,2004,3,10,38.875
1,2004,3,11,45.58333333
1,2004,3,12,48.04166667
1,2004,3,13,38.45833333
1,2004,3,14,42.95833333
1,2004,3,15,54.625
1,2004,3,16,45.375
1,2004,3,17,42.08333333
1,2004,3,18,45.04166667
1,2004,3,19,44.91666667
1,2004,3,20,44.41666667
1,2004,3,21,51.45833333
1,2004,3,22,36.625
