zone_id,year,month,day,avg_load,avg_temperature
1,2004,1,1,16703.33333,44.33333333
1,2004,1,2,17006.54167,48.45833333
1,2004,1,3,15279,56.83333333
1,2004,1,4,13561.04167,65
1,2004,1,5,14479.95833,62
1,2004,1,6,21686.375,41.5
1,2004,1,7,27586.04167,28.95833333
1,2004,1,8,25725.25,30.95833333
1,2004,1,9,25313.54167,31.29166667
1,2004,1,10,27204.70833,19.08333333
1,2004,1,11,29059.16667,22.70833333
1,2004,1,12,20662.29167,40.91666667
1,2004,1,13,18571.41667,40.875
1,2004,1,14,20525.20833,33.45833333
1,2004,1,15,20567.70833,33.95833333
1,2004,1,16,23992.41667,27.125
1,2004,1,17,22242,31.58333333
1,2004,1,18,19672.29167,39.125
1,2004,1,19,24471,30.75
1,2004,1,20,27033.79167,27.83333333
1,2004,1,21,26906.5,25.625
1,2004,1,22,22525.08333,38.5
1,2004,1,23,24895.08333,26.5
1,2004,1,24,21377.75,28.83333333
1,2004,1,25,30268.66667,21
1,2004,1,26,31279.04167,32.29166667
1,2004,1,27,26526,37.04166667
1,2004,1,28,26639.54167,30.75
1,2004,1,29,22586.16667,34.95833333
1,2004,1,30,23062.58333,31.20833333
1,2004,1,31,28791.54167,25.25
1,2004,2,1,24772.375,26.70833333
1,2004,2,2,24455.41667,31.41666667
1,2004,2,3,21553.95833,43.25
1,2004,2,4,20036.45833,37.66666667
1,2004,2,5,24102.83333,35.20833333
1,2004,2,6,24417.66667,49
1,2004,2,7,21914.91667,44.45833333
1,2004,2,8,22676.16667,32.75
1,2004,2,9,22948.45833,38.45833333
1,2004,2,10,19702.54167,45
1,2004,2,11,19851.83333,39.125
1,2004,2,12,21488.125,36.54166667
1,2004,2,13,19449,39.29166667
1,2004,2,14,19257.125,44.04166667
1,2004,2,15,21610.41667,37.33333333
1,2004,2,16,24179.08333,29.41666667
1,2004,2,17,24856.45833,33.375
1,2004,2,18,22602.125,37.58333333
1,2004,2,19,17841.33333,43.54166667
1,2004,2,20,16569.5,49.70833333
1,2004,2,21,16182.04167,54.33333333
1,2004,2,22,18840.29167,41.70833333
1,2004,2,23,20011.41667,39.04166667
1,2004,2,24,18426.25,42.5
1,2004,2,25,19321.875,36.58333333
1,2004,2,26,22993.16667,35.375
1,2004,2,27,19174.45833,38.58333333
1,2004,2,28,18995.66667,37.70833333
1,2004,2,29,17583.41667,48.125
1,2004,3,1,15533.79167,55
1,2004,3,2,13855.54167,62.41666667
1,2004,3,3,13916.83333,55.58333333
1,2004,3,4,12942.08333,59.29166667
1,2004,3,5,12502,64.33333333
1,2004,3,6,12894.79167,65.04166667
1,2004,3,7,13290.33333,51.04166667
1,2004,3,8,18137.125,45.16666667
1,2004,3,9,18820.95833,41.375
1,2004,3,10,18702.375,38.875
1,2004,3,11,18405.125,45.58333333
1,2004,3,12,15472.33333,48.04166667
1,2004,3,13,17575.20833,38.45833333
1,2004,3,14,15649.83333,42.95833333
1,2004,3,15,13605.95833,54.625
1,2004,3,16,16462.25,45.375
1,2004,3,17,18099.79167,42.08333333
1,2004,3,18,16998.41667,45.04166667
1,2004,3,19,14899.91667,44.91666667
1,2004,3,20,16243.54167,44.41666667
1,2004,3,21,15482.04167,51.45833333
1,2004,3,22,20693.08333,36.625
1,2004,3,23,19823.125,37.875
1,2004,3,24,17236.5,47.20833333
1,2004,3,25,13985.66667,56.70833333
1,2004,3,26,12696.29167,62.08333333
1,2004,3,27,13122.375,63.41666667
1,2004,3,28,12802.79167,48.70833333
1,2004,3,29,13859.20833,43.875
1,2004,3,30,16770,45.125
1,2004,3,31,17200.91667,45.79166667
1,2004,4,1,16104.91667,48.5
1,2004,4,2,16875.5,47
1,2004,4,3,16465.95833,47.25
1,2004,4,4,17296.41667,48.75
1,2004,4,5,17880.70833,42.91666667
1,2004,4,6,16183.16667,47
1,2004,4,7,13747.5,57.16666667
1,2004,4,8,12960.20833,51.16666667
1,2004,4,9,12961.75,52.58333333
1,2004,4,10,14364.91667,50.58333333
1,2004,4,11,14290.79167,48.75
1,2004,4,12,17803.95833,48.375
1,2004,4,13,16128.25,60.625
1,2004,4,14,16590.91667,52.66666667
1,2004,4,15,15069.83333,49.66666667
1,2004,4,16,13973.70833,48.625
1,2004,4,17,13765.91667,62.875
1,2004,4,18,14584,70.95833333
1,2004,4,19,14788.375,72.91666667
1,2004,4,20,14562.79167,70.58333333
1,2004,4,21,13952.20833,64.95833333
1,2004,4,22,14014.16667,71.29166667
1,2004,4,23,14128.16667,72.375
1,2004,4,24,14800.41667,61.54166667
1,2004,4,25,13497.25,58.41666667
1,2004,4,26,13087,67.375
1,2004,4,27,13016.08333,59.25
1,2004,4,28,13992.125,51.25
1,2004,4,29,13204.54167,60.375
1,2004,4,30,12592.45833,64.625
1,2004,5,1,13115.33333,68.75
1,2004,5,2,13953.41667,70.83333333
1,2004,5,3,13304.125,55.95833333
1,2004,5,4,14173.41667,52.625
1,2004,5,5,13357.125,59.83333333
1,2004,5,6,14325.83333,63.29166667
1,2004,5,7,16255.875,72.83333333
1,2004,5,8,14721.70833,59.875
1,2004,5,9,15570.29167,68.58333333
1,2004,5,10,16581.54167,76.04166667
1,2004,5,11,17024.75,75.45833333
1,2004,5,12,16508.58333,75.16666667
1,2004,5,13,16040.625,75.20833333
1,2004,5,14,16380.70833,75.95833333
1,2004,5,15,17096.25,76.83333333
1,2004,5,16,15363.70833,75.79166667
1,2004,5,17,14907.375,74.625
1,2004,5,18,16010.625,75.79166667
1,2004,5,19,16171.25,74.79166667
1,2004,5,20,16428.54167,65.58333333
1,2004,5,21,17242.33333,74.375
1,2004,5,22,18128.70833,77.79166667
1,2004,5,23,18644.25,80.79166667
1,2004,5,24,18780.20833,80.20833333
1,2004,5,25,19392.41667,80.20833333
1,2004,5,26,17912,76.75
1,2004,5,27,17345.75,74.70833333
1,2004,5,28,16639.91667,75.70833333
1,2004,5,29,17542.16667,68.20833333
1,2004,5,30,14170.41667,66.29166667
1,2004,5,31,16767.25,73.29166667
1,2004,6,1,15828.83333,73.45833333
1,2004,6,2,15890.70833,75.41666667
1,2004,6,3,16826.41667,74.16666667
1,2004,6,4,13713.04167,68.25
1,2004,6,5,14077.33333,69.16666667
1,2004,6,6,14717.58333,66.58333333
1,2004,6,7,16476.29167,68.75
1,2004,6,8,16897.79167,72.375
1,2004,6,9,19037.25,81.08333333
1,2004,6,10,18946.625,81.04166667
1,2004,6,11,19404.66667,70.875
1,2004,6,12,15446.625,65.5
1,2004,6,13,14586.375,67
1,2004,6,14,17474.41667,76.66666667
1,2004,6,15,17959.5,79.16666667
1,2004,6,16,19510.66667,76.875
1,2004,6,17,22008.33333,80.04166667
1,2004,6,18,21761.875,80.79166667
1,2004,6,19,20839.08333,79.29166667
1,2004,6,20,17115.41667,69.66666667
1,2004,6,21,15202.75,69.45833333
1,2004,6,22,19234.41667,78.08333333
1,2004,6,23,16977.75,76.20833333
1,2004,6,24,19278.29167,75.33333333
1,2004,6,25,16435.29167,74.33333333
1,2004,6,26,17526.70833,74.25
1,2004,6,27,15437.375,73.58333333
1,2004,6,28,16970.25,70.33333333
1,2004,6,29,17787.16667,72.08333333
1,2004,6,30,18681.375,72.91666667
1,2004,7,1,19595.75,77.70833333
1,2004,7,2,21969.125,78.08333333
1,2004,7,3,21847.54167,76.625
1,2004,7,4,21690.375,77.41666667
1,2004,7,5,22987.20833,81.95833333
1,2004,7,6,23608.16667,80.25
1,2004,7,7,22013.875,77.91666667
1,2004,7,8,21846.04167,80.25
1,2004,7,9,22580.41667,81
1,2004,7,10,20280.70833,79.25
1,2004,7,11,20825.45833,80.375
1,2004,7,12,22090.54167,78.875
1,2004,7,13,22909.33333,79.75
1,2004,7,14,22794.79167,80
1,2004,7,15,19566.83333,76.625
1,2004,7,16,18895.20833,76.5
1,2004,7,17,17786.45833,78.375
1,2004,7,18,17898.375,75.95833333
