zone_id,year,month,day,h1
1,2004,1,1,16703.333333333332
1,2004,1,2,17006.541666666668
1,2004,1,3,15279.0
1,2004,1,4,13561.041666666666
1,2004,1,5,14479.958333333334
1,2004,1,6,21686.375
1,2004,1,7,27586.041666666668
1,2004,1,8,25725.25
1,2004,1,9,25313.541666666668
1,2004,1,10,27204.708333333332
1,2004,1,11,29059.166666666668
1,2004,1,12,20662.291666666668
1,2004,1,13,18571.416666666668
1,2004,1,14,20525.208333333332
1,2004,1,15,20567.708333333332
1,2004,1,16,23992.416666666668
1,2004,1,17,22242.0
1,2004,1,18,19672.291666666668
1,2004,1,19,24471.0
1,2004,1,20,27033.791666666668
1,2004,1,21,26906.5
1,2004,1,22,22525.083333333332
1,2004,1,23,24895.083333333332
1,2004,1,24,21377.75
1,2004,1,25,30268.666666666668
1,2004,1,26,31279.041666666668
1,2004,1,27,26526.0
1,2004,1,28,26639.541666666668
1,2004,1,29,22586.166666666668
1,2004,1,30,23062.583333333332
1,2004,1,31,28791.541666666668
1,2004,2,1,24772.375
1,2004,2,2,24455.416666666668
1,2004,2,3,21553.958333333332
1,2004,2,4,20036.458333333332
1,2004,2,5,24102.833333333332
1,2004,2,6,24417.666666666668
1,2004,2,7,21914.916666666668
1,2004,2,8,22676.166666666668
1,2004,2,9,22948.458333333332
1,2004,2,10,19702.541666666668
1,2004,2,11,19851.833333333332
1,2004,2,12,21488.125
1,2004,2,13,19449.0
1,2004,2,14,19257.125
1,2004,2,15,21610.416666666668
1,2004,2,16,24179.083333333332
1,2004,2,17,24856.458333333332
1,2004,2,18,22602.125
1,2004,2,19,17841.333333333332
1,2004,2,20,16569.5
1,2004,2,21,16182.041666666666
1,2004,2,22,18840.291666666668
1,2004,2,23,20011.416666666668
1,2004,2,24,18426.25
1,2004,2,25,19321.875
1,2004,2,26,22993.166666666668
1,2004,2,27,19174.458333333332
1,2004,2,28,18995.666666666668
1,2004,2,29,17583.416666666668
1,2004,3,1,15533.791666666666
1,2004,3,2,13855.541666666666
1,2004,3,3,13916.833333333334
1,2004,3,4,12942.083333333334
1,2004,3,5,12502.0
1,2004,3,6,12894.791666666666
1,2004,3,7,13290.333333333334
1,2004,3,8,18137.125
1,2004,3,9,18820.958333333332
1,2004,3,10,18702.375
1,2004,3,11,18405.125
1,2004,3,12,15472.333333333334
1,2004,3,13,17575.208333333332
1,2004,3,14,15649.833333333334
1,2004,3,15,13605.958333333334
1,2004,3,16,16462.25
1,2004,3,17,18099.791666666668
1,2004,3,18,16998.416666666668
1,2004,3,19,14899.916666666666
1,2004,3,20,16243.541666666666
1,2004,3,21,15482.041666666666
1,2004,3,22,20693.083333333332
1,2004,3,23,19823.125
1,2004,3,24,17236.5
1,2004,3,25,13985.666666666666
1,2004,3,26,12696.291666666666
1,2004,3,27,13122.375
1,2004,3,28,12802.791666666666
1,2004,3,29,13859.208333333334
1,2004,3,30,16770.0
1,2004,3,31,17200.916666666668
1,2004,4,1,16104.916666666666
1,2004,4,2,16875.5
1,2004,4,3,16465.958333333332
1,2004,4,4,17296.416666666668
1,2004,4,5,17880.708333333332
1,2004,4,6,16183.166666666666
1,2004,4,7,13747.5
1,2004,4,8,12960.208333333334
1,2004,4,9,12961.75
1,2004,4,10,14364.916666666666
1,2004,4,11,14290.791666666666
1,2004,4,12,17803.958333333332
1,2004,4,13,16128.25
1,2004,4,14,16590.916666666668
1,2004,4,15,15069.833333333334
1,2004,4,16,13973.708333333334
1,2004,4,17,13765.916666666666
1,2004,4,18,14584.0
1,2004,4,19,14788.375
1,2004,4,20,14562.791666666666
1,2004,4,21,13952.208333333334
1,2004,4,22,14014.166666666666
1,2004,4,23,14128.166666666666
1,2004,4,24,14800.416666666666
1,2004,4,25,13497.25
1,2004,4,26,13087.0
1,2004,4,27,13016.083333333334
1,2004,4,28,13992.125
1,2004,4,29,13204.541666666666
1,2004,4,30,12592.458333333334
1,2004,5,1,13115.333333333334
1,2004,5,2,13953.416666666666
1,2004,5,3,13304.125
1,2004,5,4,14173.416666666666
1,2004,5,5,13357.125
1,2004,5,6,14325.833333333334
1,2004,5,7,16255.875
1,2004,5,8,14721.708333333334
1,2004,5,9,15570.291666666666
1,2004,5,10,16581.541666666668
1,2004,5,11,17024.75
1,2004,5,12,16508.583333333332
1,2004,5,13,16040.625
1,2004,5,14,16380.708333333334
1,2004,5,15,17096.25
1,2004,5,16,15363.708333333334
1,2004,5,17,14907.375
1,2004,5,18,16010.625
1,2004,5,19,16171.25
1,2004,5,20,16428.541666666668
1,2004,5,21,17242.333333333332
1,2004,5,22,18128.708333333332
1,2004,5,23,18644.25
1,2004,5,24,18780.208333333332
1,2004,5,25,19392.416666666668
1,2004,5,26,17912.0
1,2004,5,27,17345.75
1,2004,5,28,16639.916666666668
1,2004,5,29,17542.166666666668
1,2004,5,30,14170.416666666666
1,2004,5,31,16767.25
1,2004,6,1,15828.833333333334
1,2004,6,2,15890.708333333334
1,2004,6,3,16826.416666666668
1,2004,6,4,13713.041666666666
1,2004,6,5,14077.333333333334
1,2004,6,6,14717.583333333334
1,2004,6,7,16476.291666666668
1,2004,6,8,16897.791666666668
1,2004,6,9,19037.25
1,2004,6,10,18946.625
1,2004,6,11,19404.666666666668
1,2004,6,12,15446.625
1,2004,6,13,14586.375
1,2004,6,14,17474.416666666668
1,2004,6,15,17959.5
1,2004,6,16,19510.666666666668
1,2004,6,17,22008.333333333332
1,2004,6,18,21761.875
1,2004,6,19,20839.083333333332
1,2004,6,20,17115.416666666668
1,2004,6,21,15202.75
1,2004,6,22,19234.416666666668
