zone_id,year,month,day,avg_load,avg_temperature,season
4,2004,1,1,0.0009704790718693,0.4075630251851916,3
4,2004,1,2,0.0009047916237733,0.4889705881718055,3
4,2004,1,3,0.000644725834758,0.5971638655713094,3
4,2004,1,4,0.0005030387154187,0.6822478991883296,3
4,2004,1,5,0.0005247932682345,0.6827731091883518,3
4,2004,1,6,0.0010115867006778,0.4044117646808576,3
4,2004,1,7,0.0014516219713691,0.2111344537903838,3
4,2004,1,8,0.0013242024481698,0.2337184873207444,3
4,2004,1,9,0.0012648718498896,0.255252100851061,3
4,2004,1,10,0.0014503506014059,0.1265756301733855,3
4,2004,1,11,0.0014913169667721,0.1218487394168844,3
4,2004,1,12,0.0009878544613657,0.3702731092592551,3
4,2004,1,13,0.0010065012208252,0.3844537815287585,3
4,2004,1,14,0.0010302334601372,0.2920168066509251,3
4,2004,1,15,0.0011705079460712,0.3146008403073361,3
4,2004,1,16,0.0014702687308286,0.2027310924034761,3
4,2004,1,17,0.0014831236935633,0.2678571428683973,3
4,2004,1,18,0.0011597719329361,0.3728991596375168,3
4,2004,1,19,0.0013394588877276,0.2657563024901578,3
4,2004,1,20,0.0014678672540055,0.1990546217730694,3
4,2004,1,21,0.0015424542918435,0.184348739503544,3
4,2004,1,22,0.0013073921121034,0.3644957982506091,3
4,2004,1,23,0.0015110938327525,0.2415966385815796,3
4,2004,1,24,0.0014640531441161,0.2946428571552371,3
4,2004,1,25,0.0016284836593498,0.1376050419385548,3
4,2004,1,26,0.0014298674185533,0.2100840335382388,3
4,2004,1,27,0.0011829391191572,0.2478991595902478,3
4,2004,1,28,0.0014062764426835,0.2421218487076522,3
4,2004,1,29,0.001210626731462,0.3450630252245824,3
4,2004,1,30,0.0012490503572409,0.329306722702912,3
4,2004,1,31,0.0016033387869714,0.182773109251377,3
4,2004,2,1,0.0013843806264255,0.1906512605122122,3
4,2004,2,2,0.0011919799720025,0.2415966385815796,3
4,2004,2,3,0.0010481739030636,0.4023109243026181,3
4,2004,2,4,0.0009942113111814,0.3371848739637472,3
4,2004,2,5,0.0012066713584693,0.2914915966509029,3
4,2004,2,6,0.0,0.508928571449955,3
4,2004,2,7,0.0006832907236402,0.47426470590228,3
4,2004,2,8,0.0009785310816359,0.2925420167769975,3
4,2004,2,9,0.0012219277980271,0.3408613444681034,3
4,2004,2,10,0.0009879957248079,0.4406512604806996,3
4,2004,2,11,0.0009967540511077,0.4023109243026181,3
4,2004,2,12,0.0009834752980463,0.3298319327029341,3
4,2004,2,13,0.0009478769390781,0.3707983192592772,3
4,2004,2,14,0.0011635860428255,0.4322478990937919,3
4,2004,2,15,0.0011760172159115,0.3550420167376067,3
4,2004,2,16,0.0012046936716339,0.2305672268164103,3
4,2004,2,17,0.0011214895709384,0.2647058823640632,3
4,2004,2,18,0.0010973335416386,0.3214285714420768,3
4,2004,2,19,0.0008803530679281,0.4101890755634533,3
4,2004,2,20,0.0008526654552843,0.5115546218282165,3
4,2004,2,21,0.0009762708682551,0.565126050401896,3
4,2004,2,22,0.0010223227138129,0.3828781512765914,3
4,2004,2,23,0.0009464643060118,0.3503151259811057,3
4,2004,2,24,0.0009345981863557,0.4406512604806996,3
4,2004,2,25,0.0009437803026432,0.3403361344680813,3
4,2004,2,26,0.0011596306698328,0.3030462184160944,3
4,2004,2,27,0.0010080551173338,0.3608193277462528,3
4,2004,2,28,0.0010474675861914,0.3560924369897517,3
4,2004,2,29,0.0009437803026432,0.4637605041371328,3
4,2004,3,1,0.0007001010597066,0.5509453781323927,3
4,2004,3,2,0.0005575663603918,0.6517857142710834,3
4,2004,3,3,0.0005705625869078,0.6055672268321668,3
4,2004,3,4,0.0005543173039323,0.6638655461623473,3
4,2004,3,5,0.0005004959754924,0.7184873949881716,3
4,2004,3,6,0.0005930234562567,0.6980042017100001,3
4,2004,3,7,0.0006954393698417,0.5178571428368848,3
4,2004,3,8,0.0008987173005031,0.4233193277068621,3
4,2004,3,9,0.0009062042571787,0.3602941176201804,3
4,2004,3,10,0.0008677806313998,0.3329831932072682,3
4,2004,3,11,0.000852524191842,0.4322478990937919,3
4,2004,3,12,0.0009343156594712,0.5005252100630473,3
4,2004,3,13,0.0010952145917,0.3707983192592772,3
4,2004,3,14,0.000905780467191,0.4275210083372908,3
4,2004,3,15,0.0005849714464901,0.5730042016627312,3
4,2004,3,16,0.0007284949888835,0.4658613445153723,3
4,2004,3,17,0.0008265317394882,0.3797268907722573,3
4,2004,3,18,0.0007906508536355,0.4438025209850337,3
4,2004,3,19,0.0008522416652966,0.477415966406614,3
4,2004,3,20,0.0008656616814612,0.454831932750203,3
4,2004,3,21,0.0008374090157265,0.5756302520409928,0
4,2004,3,22,0.0009730218117956,0.3230042016942438,0
4,2004,3,23,0.0008643903114981,0.3193277310638373,0
4,2004,3,24,0.0007451640618467,0.4669117646414669,0
